timestamp_us,philosopher_id,old_state,new_state
1779476748332348,3,THINKING,THINKING
1779476748332488,4,THINKING,THINKING
1779476748333162,0,THINKING,THINKING
1779476748333180,1,THINKING,THINKING
1779476748333193,2,THINKING,THINKING
1779476748526677,0,THINKING,HUNGRY
1779476748526683,0,HUNGRY,EATING
1779476748563641,4,THINKING,HUNGRY
1779476748581652,2,THINKING,HUNGRY
1779476748581657,2,HUNGRY,EATING
1779476748670846,1,THINKING,HUNGRY
1779476748722382,3,THINKING,HUNGRY
1779476748765526,0,EATING,THINKING
1779476748765602,4,HUNGRY,EATING
1779476748867843,1,HUNGRY,EATING
1779476748867884,2,EATING,THINKING
1779476748970573,2,THINKING,HUNGRY
1779476749026865,0,THINKING,HUNGRY
1779476749082461,4,EATING,THINKING
1779476749082493,3,HUNGRY,EATING
1779476749109919,1,EATING,THINKING
1779476749109951,0,HUNGRY,EATING
1779476749273560,4,THINKING,HUNGRY
1779476749330269,1,THINKING,HUNGRY
1779476749407955,0,EATING,THINKING
1779476749452299,3,EATING,THINKING
1779476749452310,4,HUNGRY,EATING
1779476749452340,2,HUNGRY,EATING
1779476749742247,1,HUNGRY,EATING
1779476749742257,2,EATING,THINKING
1779476749823057,0,THINKING,HUNGRY
1779476749835838,4,EATING,THINKING
1779476749933779,3,THINKING,HUNGRY
1779476749933783,3,HUNGRY,EATING
1779476749998597,1,EATING,THINKING
1779476749998670,0,HUNGRY,EATING
1779476750047761,2,THINKING,HUNGRY
1779476750237631,3,EATING,THINKING
1779476750237699,2,HUNGRY,EATING
1779476750255318,1,THINKING,HUNGRY
1779476750265278,0,EATING,THINKING
1779476750331499,4,THINKING,HUNGRY
1779476750331504,4,HUNGRY,EATING
1779476750431282,0,THINKING,HUNGRY
1779476750560795,2,EATING,THINKING
1779476750560820,1,HUNGRY,EATING
1779476750560940,3,THINKING,HUNGRY
1779476750706063,4,EATING,THINKING
1779476750706073,3,HUNGRY,EATING
1779476750874995,1,EATING,THINKING
1779476750875067,0,HUNGRY,EATING
