timestamp_us,philosopher_id,old_state,new_state
1779477159273649,0,THINKING,THINKING
1779477159273658,1,THINKING,THINKING
1779477159273709,2,THINKING,THINKING
1779477159273808,3,THINKING,THINKING
1779477159273846,4,THINKING,THINKING
1779477159466863,2,THINKING,HUNGRY
1779477159466868,2,HUNGRY,EATING
1779477159504951,1,THINKING,HUNGRY
1779477159522238,4,THINKING,HUNGRY
1779477159522243,4,HUNGRY,EATING
1779477159611374,3,THINKING,HUNGRY
1779477159663965,0,THINKING,HUNGRY
1779477159705841,2,EATING,THINKING
1779477159705859,1,HUNGRY,EATING
1779477159844857,3,HUNGRY,EATING
1779477159844868,4,EATING,THINKING
1779477159947381,4,THINKING,HUNGRY
1779477159966457,2,THINKING,HUNGRY
1779477160023001,1,EATING,THINKING
1779477160023013,0,HUNGRY,EATING
1779477160086507,2,HUNGRY,EATING
1779477160086515,3,EATING,THINKING
1779477160213687,1,THINKING,HUNGRY
1779477160285299,3,THINKING,HUNGRY
1779477160392723,0,EATING,THINKING
1779477160392746,4,HUNGRY,EATING
1779477160406839,1,HUNGRY,EATING
1779477160406849,2,EATING,THINKING
1779477160596470,2,THINKING,HUNGRY
1779477160773865,4,EATING,THINKING
1779477160773937,3,HUNGRY,EATING
1779477160790913,1,EATING,THINKING
1779477160807661,0,THINKING,HUNGRY
1779477160807666,0,HUNGRY,EATING
1779477160979602,3,EATING,THINKING
1779477160979672,2,HUNGRY,EATING
1779477161110774,0,EATING,THINKING
1779477161130214,4,THINKING,HUNGRY
1779477161130220,4,HUNGRY,EATING
1779477161236772,3,THINKING,HUNGRY
1779477161246110,2,EATING,THINKING
1779477161286941,1,THINKING,HUNGRY
1779477161286945,1,HUNGRY,EATING
1779477161411710,2,THINKING,HUNGRY
1779477161433011,0,THINKING,HUNGRY
1779477161454071,4,EATING,THINKING
1779477161454137,3,HUNGRY,EATING
1779477161661606,0,HUNGRY,EATING
1779477161661615,1,EATING,THINKING
1779477161769211,3,EATING,THINKING
1779477161769236,2,HUNGRY,EATING
1779477161796102,1,THINKING,HUNGRY
1779477161857691,4,THINKING,HUNGRY
1779477161992841,3,THINKING,HUNGRY
1779477162041889,0,EATING,THINKING
1779477162041902,4,HUNGRY,EATING
1779477162102571,1,HUNGRY,EATING
1779477162102584,2,EATING,THINKING
1779477162321760,1,EATING,THINKING
1779477162378188,2,THINKING,HUNGRY
1779477162403501,4,EATING,THINKING
1779477162403543,3,HUNGRY,EATING
1779477162440371,0,THINKING,HUNGRY
1779477162440376,0,HUNGRY,EATING
1779477162500396,1,THINKING,HUNGRY
1779477162725184,0,EATING,THINKING
1779477162781194,3,EATING,THINKING
1779477162781217,2,HUNGRY,EATING
1779477162879868,4,THINKING,HUNGRY
1779477162879886,4,HUNGRY,EATING
1779477162895465,3,THINKING,HUNGRY
1779477162970244,0,THINKING,HUNGRY
1779477163080104,1,HUNGRY,EATING
1779477163080113,2,EATING,THINKING
1779477163255268,4,EATING,THINKING
1779477163255311,3,HUNGRY,EATING
1779477163378729,2,THINKING,HUNGRY
1779477163474634,0,HUNGRY,EATING
1779477163474660,1,EATING,THINKING
1779477163620440,4,THINKING,HUNGRY
1779477163622588,3,EATING,THINKING
1779477163622630,2,HUNGRY,EATING
1779477163679380,0,EATING,THINKING
1779477163679393,4,HUNGRY,EATING
1779477163822430,0,THINKING,HUNGRY
1779477163886854,4,EATING,THINKING
1779477163886864,0,HUNGRY,EATING
1779477163951346,1,THINKING,HUNGRY
1779477163982950,2,EATING,THINKING
1779477163991977,3,THINKING,HUNGRY
1779477163991982,3,HUNGRY,EATING
1779477164186598,4,THINKING,HUNGRY
1779477164194734,0,EATING,THINKING
1779477164194744,1,HUNGRY,EATING
1779477164295498,4,HUNGRY,EATING
1779477164315754,0,THINKING,HUNGRY
1779477164381398,2,THINKING,HUNGRY
1779477164472214,2,HUNGRY,EATING
1779477164632900,0,HUNGRY,EATING
