timestamp_us,philosopher_id,old_state,new_state
1779477222611297,0,THINKING,THINKING
1779477222611329,1,THINKING,THINKING
1779477222611363,2,THINKING,THINKING
1779477222611430,4,THINKING,THINKING
1779477222611434,3,THINKING,THINKING
1779477222804782,2,THINKING,HUNGRY
1779477222804787,2,HUNGRY,EATING
1779477222843433,1,THINKING,HUNGRY
1779477222859398,3,THINKING,HUNGRY
1779477222949572,4,THINKING,HUNGRY
1779477222949577,4,HUNGRY,EATING
1779477223001392,0,THINKING,HUNGRY
1779477223043851,2,EATING,THINKING
1779477223043884,1,HUNGRY,EATING
1779477223236138,4,EATING,THINKING
1779477223236279,3,HUNGRY,EATING
1779477223304727,2,THINKING,HUNGRY
1779477223361165,0,HUNGRY,EATING
1779477223361173,1,EATING,THINKING
1779477223378560,4,THINKING,HUNGRY
1779477223439341,2,HUNGRY,EATING
1779477223439350,3,EATING,THINKING
1779477223630532,1,THINKING,HUNGRY
1779477223637525,3,THINKING,HUNGRY
1779477223652133,0,EATING,THINKING
1779477223652246,4,HUNGRY,EATING
1779477223759734,1,HUNGRY,EATING
1779477223759747,2,EATING,THINKING
1779477223949295,2,THINKING,HUNGRY
1779477224033886,4,EATING,THINKING
1779477224034307,3,HUNGRY,EATING
1779477224066832,0,THINKING,HUNGRY
1779477224143860,1,EATING,THINKING
1779477224143875,0,HUNGRY,EATING
1779477224240654,2,HUNGRY,EATING
1779477224240663,3,EATING,THINKING
1779477224389795,4,THINKING,HUNGRY
1779477224406724,3,THINKING,HUNGRY
1779477224447080,0,EATING,THINKING
1779477224447148,4,HUNGRY,EATING
1779477224597463,2,EATING,THINKING
1779477224639767,1,THINKING,HUNGRY
1779477224639771,1,HUNGRY,EATING
1779477224763315,2,THINKING,HUNGRY
1779477224769470,0,THINKING,HUNGRY
1779477224770736,4,EATING,THINKING
1779477224770805,3,HUNGRY,EATING
1779477225014330,0,HUNGRY,EATING
1779477225014340,1,EATING,THINKING
1779477225084889,3,EATING,THINKING
1779477225084900,2,HUNGRY,EATING
1779477225148950,1,THINKING,HUNGRY
1779477225174189,4,THINKING,HUNGRY
1779477225308742,3,THINKING,HUNGRY
1779477225394508,0,EATING,THINKING
1779477225394573,4,HUNGRY,EATING
1779477225418608,1,HUNGRY,EATING
1779477225418619,2,EATING,THINKING
1779477225637340,1,EATING,THINKING
1779477225693799,2,THINKING,HUNGRY
1779477225756185,4,EATING,THINKING
1779477225756220,3,HUNGRY,EATING
1779477225793041,0,THINKING,HUNGRY
1779477225793047,0,HUNGRY,EATING
1779477225815777,1,THINKING,HUNGRY
1779477226077925,0,EATING,THINKING
1779477226134259,3,EATING,THINKING
1779477226134269,2,HUNGRY,EATING
1779477226232686,4,THINKING,HUNGRY
1779477226232690,4,HUNGRY,EATING
1779477226248529,3,THINKING,HUNGRY
1779477226323248,0,THINKING,HUNGRY
1779477226433712,1,HUNGRY,EATING
1779477226433721,2,EATING,THINKING
1779477226608027,4,EATING,THINKING
1779477226608084,3,HUNGRY,EATING
1779477226732280,2,THINKING,HUNGRY
1779477226828968,0,HUNGRY,EATING
1779477226828985,1,EATING,THINKING
1779477226973287,4,THINKING,HUNGRY
1779477226974725,2,HUNGRY,EATING
1779477226974735,3,EATING,THINKING
1779477227033138,0,EATING,THINKING
1779477227033209,4,HUNGRY,EATING
1779477227175431,0,THINKING,HUNGRY
1779477227234982,3,THINKING,HUNGRY
1779477227240770,0,HUNGRY,EATING
1779477227244191,3,HUNGRY,EATING
1779477227305296,1,THINKING,HUNGRY
1779477227640941,1,HUNGRY,EATING
