timestamp_us,philosopher_id,old_state,new_state
1779477178863682,0,THINKING,THINKING
1779477178863687,1,THINKING,THINKING
1779477178863690,2,THINKING,THINKING
1779477178863770,3,THINKING,THINKING
1779477178863792,4,THINKING,THINKING
1779477179057557,2,THINKING,HUNGRY
1779477179057561,2,HUNGRY,EATING
1779477179095272,1,THINKING,HUNGRY
1779477179112215,4,THINKING,HUNGRY
1779477179112220,4,HUNGRY,EATING
1779477179201277,3,THINKING,HUNGRY
1779477179253754,0,THINKING,HUNGRY
1779477179296553,2,EATING,THINKING
1779477179296569,1,HUNGRY,EATING
1779477179398622,3,HUNGRY,EATING
1779477179557370,2,THINKING,HUNGRY
1779477179613622,0,HUNGRY,EATING
1779477179640303,2,HUNGRY,EATING
